DienTich,City,District,MucGia,MatTien,PhapLy,DuongVao,HuongNha,SoTang,SoPhongNgu,SoToilet,NoiThat,Ward
35.0,1,4,4700000000.0,,,,2,,0,9,1,136
52.0,1,19,9000000000.0,,1,,3,5.0,5,4,2,631
51.0,1,21,4200000000.0,,,,5,,8,12,1,610
53.0,1,19,8400000000.0,4.3,1,4.0,1,4.0,9,2,2,632
45.0,1,3,6200000000.0,,1,,1,5.0,4,4,2,109
52.0,79,778,5380000000.0,4.0,1,3.0,2,2.0,2,3,1,27478
39.0,1,7,5300000000.0,3.2,1,,6,3.0,2,2,2,286
98.0,75,731,3950000000.0,5.1,1,,4,2.0,3,2,3,25996
90.0,75,731,3900000000.0,,1,8.0,6,2.0,3,2,3,25996
64.0,79,778,3800000000.0,3.5,1,3.5,5,2.0,3,2,1,27472
50.0,1,9,6800000000.0,5.7,1,,5,4.0,4,2,1,349
94.0,79,762,7900000000.0,4.0,1,6.0,5,3.0,3,3,1,26827
46.0,1,268,6700000000.0,3.0,1,,8,4.0,4,3,2,9541
147.0,79,778,10140000000.0,,,,4,,7,5,1,27484
45.0,1,7,7800000000.0,,1,,1,5.0,6,6,1,295
94.0,79,766,23500000000.0,5.5,1,,5,3.0,11,0,2,26965
100.0,79,765,22000000000.0,5.0,1,,4,6.0,7,0,3,26935
55.0,1,6,16899999999.999998,,1,,2,7.0,4,6,2,187
36.0,1,8,4350000000.0,,1,,5,4.0,4,3,2,328
39.0,1,8,4500000000.0,5.4,1,4.0,7,5.0,3,4,3,340
25.0,1,6,5400000000.0,,1,,3,5.0,3,4,2,232
50.0,1,268,6000000000.0,,1,,6,5.0,4,4,3,9565
150.0,79,761,9500000000.0,,1,7.0,3,4.0,5,1,1,26770
138.0,1,1,48450000000.0,,1,,6,5.0,6,3,0,34
77.0,74,724,2380000000.0,,1,5.0,2,,5,6,1,25948
184.0,79,769,37000000000.0,8.0,1,20.0,1,3.0,1,5,1,27112
138.0,1,6,48450000000.0,,1,,3,5.0,6,3,0,199
86.0,79,776,5990000000.0,6.0,1,4.0,4,4.0,5,3,1,27430
138.0,1,1,43470000000.0,,1,,2,5.0,6,3,0,25
43.0,1,5,5450000000.0,4.5,1,3.3,6,5.0,4,4,2,163
120.0,56,568,7200000000.0,8.0,4,13.0,5,3.0,4,4,3,22357
100.0,80,794,3500000000.0,5.0,,,5,3.0,3,3,2,27700
120.0,79,764,16000000000.0,,1,,3,5.0,7,11,2,26875
72.0,79,774,24000000000.0,4.0,1,12.0,5,3.0,4,4,3,27325
115.0,79,762,16800000000.0,5.0,1,14.0,5,4.0,4,5,1,26809
40.0,31,304,4980000000.0,4.0,1,21.0,5,5.0,5,4,3,11350
50.0,1,6,11800000000.0,5.0,1,,5,6.0,6,9,2,223
167.0,79,763,18000000000.0,5.0,1,30.0,2,,3,1,2,26833
120.0,79,764,16000000000.0,,,,5,5.0,2,2,2,26875
258.0,48,492,39990000000.0,10.13,1,10.5,4,4.0,8,5,2,20254
52.0,1,9,8000000000.0,5.0,1,,5,4.0,4,3,2,364
66.0,79,768,8300000000.000001,,,,5,2.0,4,4,1,27055
162.0,79,764,26000000000.0,,1,10.0,5,,2,5,1,26875
101.0,48,491,8500000000.0,4.37,1,10.0,6,1.0,4,17,2,20215
200.0,79,764,19800000000.0,,,10.0,7,,11,9,2,26875
90.0,48,492,9700000000.0,,1,,4,4.0,14,14,2,20258
85.0,1,18,7500000000.0,5.0,1,16.0,4,5.0,12,12,2,550
40.0,1,7,7980000000.0,,1,,3,5.0,2,16,2,298
90.0,48,494,9000000000.0,5.0,1,11.5,4,2.0,6,1,2,20285
20.0,79,776,1250000000.0,2.5,1,,6,2.0,2,2,2,27427
145.0,1,268,37000000000.0,7.0,1,20.0,6,5.0,5,1,2,9541
95.0,1,5,15500000000.0,4.7,1,,5,4.0,4,2,3,175
46.0,1,8,5050000000.0,4.0,1,3.0,5,5.0,3,4,2,316
32.0,48,492,5300000000.0,4.0,1,7.5,5,3.0,5,3,3,20236
100.0,79,764,17500000000.0,5.0,1,12.0,1,5.0,5,5,0,26884
50.0,1,8,6150000000.0,4.0,1,3.5,2,5.0,4,3,2,307
72.2,56,568,10800000000.0,,1,,3,3.0,3,3,1,22366
48.0,1,8,5880000000.0,4.0,1,4.0,6,5.0,4,4,2,316
46.0,1,8,5100000000.0,4.1,1,4.0,1,5.0,3,4,2,316
43.0,1,8,4950000000.0,4.0,1,5.0,5,5.0,4,4,2,307
46.0,1,8,5160000000.0,4.0,1,4.0,4,5.0,3,3,2,307
100.5,1,9,16500000000.0,,1,,3,5.0,10,0,2,343
48.0,1,8,5260000000.0,,1,,1,5.0,4,4,2,316
50.0,1,6,18700000000.0,4.5,1,50.0,3,4.0,4,4,2,190
50.0,1,8,5850000000.0,4.0,1,3.0,4,4.0,4,4,2,316
48.0,1,8,5750000000.0,4.0,1,4.0,5,4.0,4,3,2,331
84.0,79,768,25000000000.0,6.0,1,8.0,7,3.0,6,6,1,27085
90.0,1,18,30500000000.0,6.0,1,40.0,8,5.0,3,4,3,565
100.0,79,762,5200000000.0,,1,,7,3.0,2,2,2,26803
43.0,1,8,4850000000.0,4.0,1,3.0,3,5.0,3,3,2,307
95.0,1,3,39000000000.0,6.0,1,,3,9.0,5,4,2,103
45.0,1,8,5250000000.0,4.5,1,4.0,4,5.0,4,3,2,316
56.3,79,768,12000000000.0,3.6,1,,6,4.0,4,4,2,27058
46.0,1,8,5250000000.0,4.0,1,4.0,5,5.0,4,4,1,337
48.0,1,8,5580000000.0,4.0,1,3.0,3,5.0,3,3,3,331
60.0,1,4,11900000000.0,4.0,1,4.5,7,6.0,5,5,2,139
90.0,1,18,7950000000.0,,,,5,3.0,7,5,2,526
41.0,1,4,11000000000.0,4.0,1,5.0,5,7.0,4,5,2,130
120.0,79,764,16000000000.0,,,,1,5.0,4,11,2,26884
73.0,1,1,21500000000.0,5.6,1,,7,6.0,5,1,1,8
60.0,79,764,9000000000.0,,,,5,3.0,4,1,1,26890
51.0,79,770,13500000000.0,,1,4.0,4,4.0,4,4,2,27151
100.0,79,763,19500000000.0,5.0,1,12.0,2,3.0,4,5,2,26848
76.0,1,18,13500000000.0,,1,,3,3.0,3,4,1,565
95.0,79,763,15000000000.0,,1,,5,4.0,4,4,0,26866
60.0,1,1,15200000000.0,4.8,,,4,5.0,7,6,1,8
79.5,1,19,19500000000.0,5.9,1,11.5,7,6.0,4,6,1,623
400.0,75,741,8550000000.000001,,1,,7,3.0,6,3,2,26425
30.0,79,761,1330000000.0,,,,6,,2,2,2,26785
40.0,1,4,8480000000.0,3.8,1,3.0,5,6.0,3,5,1,130
59.0,1,1,14500000000.0,4.7,,,5,5.0,10,4,1,8
120.0,26,244,4600000000.0,6.0,1,36.0,6,,10,3,2,8746
90.0,1,6,20100000000.0,5.0,1,8.0,3,5.0,4,3,2,199
264.0,1,5,41000000000.0,11.0,1,3.0,5,5.0,12,12,2,175
40.4,1,4,5400000000.0,3.5,1,2.5,8,5.0,3,4,3,118
45.0,1,5,5650000000.0,4.5,1,3.3,6,5.0,4,4,2,166
100.0,79,785,12000000000.0,5.0,1,,1,3.0,3,4,2,27619
47.0,1,3,5800000000.0,,1,,4,5.0,6,4,1,94
200.0,75,731,11900000000.0,8.5,1,8.0,8,,9,0,1,26050
75.0,1,4,18300000000.0,5.0,1,6.0,5,6.0,4,6,2,118
136.0,48,494,8900000000.0,,,,5,,3,1,1,20290
137.0,1,4,47900000000.0,6.0,1,20.0,8,4.0,10,5,3,139
80.0,56,568,5600000000.0,9.24,1,13.0,5,4.0,4,4,3,22378
